Brand,Model,Processor,RAM_GB,Storage_GB,GPU,Screen_Size,Weight_kg,Launch_Year,Customer_Rating,Review_Count,Demand_Index,Competitor_Price,Price
Asus,Model_217,Ryzen 9,4.0,256.0,NVIDIA RTX 3060,16.0,2.31,2018,3.6,2498.0,42,2326.0,300.0
Razer,Model_218,i7,16.0,512.0,NVIDIA RTX 3070,13.3,1.75,2021,4.4,1886.0,75,1016.0,394.82
MSI,Model_219,Ryzen 9,16.0,2048.0,NVIDIA GTX 1650,15.6,2.21,2024,2.8,2472.0,38,2717.0,622.73
Lenovo,Model_220,i7,64.0,128.0,NVIDIA RTX 3050,16.0,1.13,2020,3.0,1640.0,95,1603.0,300.0
Lenovo,Model_221,i5,4.0,128.0,NVIDIA RTX 3080,15.6,2.51,2023,4.9,297.0,74,2159.0,300.0
Acer,Model_222,i9,-8.0,1024.0,NVIDIA RTX 3080,15.6,1.13,2018,2.9,4292.0,79,2965.0,521.75
Apple,Model_223,M1,16.0,128.0,NVIDIA GTX 1650,13.3,2.55,2024,3.9,1917.0,78,625.0,300.0
HP,Model_224,M2,16.0,512.0,AMD Radeon RX 6600M,16.0,1.46,2023,3.9,1171.0,52,1069.0,300.0
HP,Model_225,Ryzen 9,4.0,512.0,NVIDIA RTX 3060,17.3,2.1,2018,3.7,139.0,38,2163.0,300.0
Asus,Model_226,i3,32.0,128.0,NVIDIA GTX 1650,13.3,1.48,2022,4.1,2373.0,47,1316.0,300.0
Acer,Model_227,i7,8.0,128.0,NVIDIA RTX 3080,13.3,0.93,2024,3.1,153.0,71,2573.0,403.53
Dell,Model_228,M2,16.0,1024.0,Integrated,16.0,1.28,2022,3.9,25.0,68,2521.0,316.98
Asus,Model_229,i3,16.0,128.0,NVIDIA RTX 3050,16.0,2.67,2024,3.4,254.0,56,1614.0,300.0
Acer,Model_230,M2,32.0,1024.0,NVIDIA GTX 1650,15.6,1.96,2022,4.2,936.0,45,2105.0,417.83
Apple,Model_231,M1,32.0,1024.0,AMD Radeon RX 6600M,16.0,2.33,2023,2.9,3188.0,59,2242.0,554.63
Apple,Model_232,i3,64.0,128.0,NVIDIA RTX 3080,15.6,1.1,2021,3.9,2186.0,99,2383.0,509.45
Apple,Model_233,Ryzen 7,64.0,256.0,NVIDIA RTX 3060,13.3,2.55,2024,3.0,896.0,57,455.0,300.0
Apple,Model_234,Ryzen 5,8.0,256.0,NVIDIA RTX 3080,14.0,1.05,2024,3.2,350.0,96,1119.0,300.0
Apple,Model_235,Ryzen 7,8.0,1024.0,NVIDIA RTX 3060,17.3,1.38,2022,3.0,2061.0,73,2479.0,300.0
Acer,Model_236,Ryzen 5,4.0,128.0,NVIDIA GTX 1650,13.3,2.42,2018,3.0,3408.0,41,973.0,300.0
Acer,Model_237,Ryzen 7,64.0,256.0,NVIDIA RTX 3060,16.0,2.44,2024,4.6,3960.0,35,1066.0,311.57
Lenovo,Model_238,Ryzen 5,16.0,128.0,NVIDIA RTX 3070,17.3,1.36,2022,3.2,315.0,47,683.0,300.0
Razer,Model_239,Ryzen 5,64.0,128.0,NVIDIA RTX 3070,14.0,1.21,2019,4.8,917.0,54,2144.0,448.98
HP,Model_240,i9,16.0,128.0,NVIDIA RTX 3070,14.0,1.78,2022,4.9,2664.0,79,2634.0,300.0
MSI,Model_241,i7,32.0,2048.0,AMD Radeon RX 6600M,15.6,1.15,2023,3.9,3802.0,64,897.0,300.0
Apple,Model_242,i7,64.0,128.0,AMD Radeon RX 6600M,17.3,1.2,2021,2.9,4052.0,65,1865.0,300.0
Dell,Model_243,i9,32.0,2048.0,Integrated,15.6,1.33,2019,3.4,1381.0,91,529.0,300.0
MSI,Model_244,M2,8.0,1024.0,AMD Radeon RX 6600M,13.3,2.32,2023,4.5,330.0,74,1038.0,342.14
Acer,Model_245,i5,8.0,256.0,NVIDIA GTX 1650,17.3,1.3,2023,3.4,4664.0,45,2561.0,331.72
Dell,Model_246,M2,4.0,256.0,NVIDIA RTX 3080,13.3,1.34,2023,2.7,4069.0,44,2460.0,300.0
Dell,Model_247,i3,64.0,256.0,NVIDIA RTX 3080,15.6,2.75,2018,3.9,1141.0,84,2891.0,337.83
Dell,Model_248,i3,32.0,256.0,Integrated,17.3,2.95,2023,4.6,2588.0,25,2894.0,500.87
Lenovo,Model_249,Ryzen 5,16.0,256.0,AMD Radeon RX 6600M,15.6,1.19,2018,4.5,4052.0,42,1385.0,300.0
Acer,Model_250,Ryzen 7,8.0,256.0,NVIDIA RTX 3060,17.3,3.2,2023,2.9,3377.0,83,1392.0,300.0
Dell,Model_251,Ryzen 7,8.0,256.0,Integrated,15.6,1.98,2020,4.2,827.0,62,2521.0,542.43
Apple,Model_252,i7,16.0,1024.0,NVIDIA RTX 3060,14.0,1.44,2019,3.1,21.0,42,2984.0,478.37
Asus,Model_253,Ryzen 9,32.0,128.0,NVIDIA RTX 3060,15.6,2.53,2020,3.0,204.0,49,500.0,300.0
Dell,Model_254,M2,32.0,512.0,NVIDIA RTX 3050,14.0,1.33,2023,4.7,2547.0,96,2623.0,421.13
Lenovo,Model_255,M1,64.0,2048.0,NVIDIA RTX 3080,15.6,1.92,2019,3.1,2852.0,37,826.0,300.0
MSI,Model_256,Ryzen 7,64.0,512.0,NVIDIA RTX 3070,17.3,1.68,2019,3.2,2239.0,98,440.0,300.0
Acer,Model_257,M1,4.0,512.0,AMD Radeon RX 6600M,17.3,3.04,2024,2.5,3019.0,40,828.0,300.0
Razer,Model_258,Ryzen 5,8.0,128.0,NVIDIA RTX 3060,17.3,2.9,2021,4.7,4761.0,76,743.0,300.0
Lenovo,Model_259,M1,64.0,128.0,NVIDIA RTX 3050,16.0,2.0,2020,4.5,2087.0,42,765.0,300.0
Dell,Model_260,i9,32.0,128.0,NVIDIA RTX 3080,13.3,1.06,2021,4.1,3877.0,64,1008.0,300.0
Acer,Model_261,M1,16.0,256.0,NVIDIA RTX 3070,17.3,1.73,2019,4.4,4883.0,63,1127.0,300.0
Asus,Model_262,i5,32.0,1024.0,NVIDIA RTX 3060,14.0,1.46,2018,2.9,453.0,66,2676.0,433.22
Dell,Model_263,Ryzen 5,8.0,256.0,NVIDIA RTX 3060,17.3,2.07,2019,3.6,307.0,59,1224.0,300.0
Lenovo,Model_264,M2,32.0,1024.0,Integrated,16.0,1.56,2021,3.4,4913.0,70,1775.0,341.04
HP,Model_265,i9,4.0,1024.0,Integrated,14.0,2.31,2020,2.7,854.0,61,1288.0,300.0
Apple,Model_266,Ryzen 7,8.0,512.0,NVIDIA RTX 3080,16.0,1.72,2023,3.7,1025.0,26,2443.0,300.0
Razer,Model_267,i3,16.0,512.0,NVIDIA RTX 3070,14.0,1.75,2024,4.8,1394.0,69,1741.0,300.0
MSI,Model_268,M2,4.0,1024.0,NVIDIA RTX 3060,15.6,1.91,2024,2.6,1407.0,67,1696.0,300.0
Lenovo,Model_269,i3,8.0,1024.0,NVIDIA RTX 3080,13.3,1.22,2024,3.2,563.0,25,516.0,300.0
Acer,Model_270,Ryzen 5,16.0,256.0,NVIDIA RTX 3080,13.3,1.68,2023,3.0,2360.0,28,2815.0,513.66
Razer,Model_271,i9,4.0,256.0,NVIDIA GTX 1650,16.0,1.39,2024,3.1,4526.0,76,1517.0,300.0
Razer,Model_272,i7,4.0,512.0,AMD Radeon RX 6600M,13.3,3.4,2020,4.8,1279.0,50,567.0,300.0
Razer,Model_273,Ryzen 7,8.0,128.0,Integrated,16.0,1.53,2023,3.7,1270.0,40,2138.0,300.0
Dell,Model_274,i5,64.0,1024.0,NVIDIA RTX 3070,16.0,1.34,2024,3.7,194.0,59,1764.0,300.0
Apple,Model_275,i7,4.0,256.0,NVIDIA RTX 3060,16.0,1.87,2023,4.4,4573.0,64,1094.0,300.0
Dell,Model_276,Ryzen 5,4.0,512.0,NVIDIA RTX 3080,13.3,1.19,2021,2.9,2420.0,96,1324.0,300.0
Acer,Model_277,M2,16.0,256.0,NVIDIA RTX 3060,16.0,1.5,2020,3.7,4441.0,68,551.0,300.0
Dell,Model_278,i5,32.0,1024.0,NVIDIA GTX 1650,13.3,2.37,2022,3.6,2219.0,39,985.0,370.06
HP,Model_279,M1,8.0,1024.0,NVIDIA RTX 3070,16.0,3.1,2018,4.0,3682.0,36,1312.0,359.28
Apple,Model_280,,,,,17.3,2.86,2024,,,47,,300.0
Apple,Model_281,Ryzen 5,64.0,128.0,NVIDIA RTX 3060,16.0,1.96,2018,4.4,1891.0,60,1977.0,319.61
Acer,Model_282,Ryzen 9,64.0,2048.0,Integrated,14.0,3.14,2023,3.5,4306.0,85,895.0,300.0
MSI,Model_283,M1,8.0,512.0,AMD Radeon RX 6600M,16.0,2.74,2018,4.6,531.0,44,2548.0,371.85
HP,Model_284,i3,64.0,256.0,NVIDIA GTX 1650,15.6,0.91,2020,2.9,1897.0,77,956.0,300.0
Lenovo,Model_285,Ryzen 7,16.0,512.0,NVIDIA RTX 3070,16.0,3.09,2020,2.6,2562.0,60,1505.0,300.0
Dell,Model_286,i3,8.0,1024.0,NVIDIA GTX 1650,14.0,2.1,2019,3.0,3819.0,25,1952.0,314.37
Asus,Model_287,i5,64.0,2048.0,Integrated,14.0,1.37,2024,3.4,4893.0,94,2520.0,415.54
Dell,Model_288,i3,8.0,2048.0,NVIDIA RTX 3070,13.3,1.24,2019,3.8,4165.0,57,556.0,300.0
Razer,Model_289,Ryzen 5,32.0,2048.0,NVIDIA GTX 1650,17.3,1.3,2018,4.0,4683.0,25,1134.0,300.0
Dell,Model_290,M2,4.0,512.0,NVIDIA RTX 3050,16.0,1.55,2022,4.8,4426.0,64,2579.0,300.0
Lenovo,Model_291,Ryzen 7,8.0,1024.0,Integrated,13.3,2.62,2019,3.8,3489.0,94,1827.0,300.0
Dell,Model_292,i3,4.0,256.0,Integrated,17.3,1.28,2019,3.8,1419.0,33,958.0,300.0
HP,Model_293,i3,64.0,256.0,Integrated,16.0,2.91,2020,2.6,1704.0,85,2554.0,418.98
HP,Model_294,i5,4.0,512.0,NVIDIA RTX 3050,15.6,1.71,2022,2.6,4674.0,59,2712.0,300.0
Apple,Model_295,M2,8.0,2048.0,NVIDIA RTX 3050,16.0,1.35,2023,3.9,536.0,22,554.0,300.0
Acer,Model_296,i7,32.0,128.0,NVIDIA RTX 3060,14.0,1.91,2018,3.6,2670.0,43,1396.0,300.0
MSI,Model_297,i3,64.0,512.0,NVIDIA RTX 3080,14.0,1.49,2019,4.6,2182.0,38,2694.0,414.73
Asus,Model_298,Ryzen 5,8.0,512.0,AMD Radeon RX 6600M,15.6,3.42,2022,2.9,4976.0,37,930.0,300.0
Razer,Model_299,Ryzen 9,64.0,1024.0,NVIDIA GTX 1650,13.3,1.75,2024,2.6,289.0,83,2371.0,445.16
Dell,Model_300,Ryzen 7,16.0,256.0,NVIDIA RTX 3060,17.3,1.73,2022,3.6,2974.0,54,2985.0,427.05
Dell,Model_301,i3,4.0,512.0,NVIDIA GTX 1650,16.0,0.97,2018,3.1,3987.0,81,1128.0,300.0
Lenovo,Model_302,Ryzen 5,16.0,512.0,AMD Radeon RX 6600M,14.0,1.25,2022,2.6,2679.0,20,1577.0,300.0
Acer,Model_303,Ryzen 5,8.0,2048.0,NVIDIA RTX 3080,13.3,1.76,2022,4.3,2903.0,44,553.0,313.78
HP,Model_304,Ryzen 7,32.0,2048.0,NVIDIA RTX 3050,15.6,1.17,2022,2.8,1761.0,64,491.0,300.0
Asus,Model_305,i7,64.0,128.0,NVIDIA RTX 3080,14.0,1.76,2024,4.0,3991.0,68,2785.0,405.02
Apple,Model_306,Ryzen 5,4.0,1024.0,NVIDIA RTX 3050,15.6,3.28,2019,3.2,4779.0,35,1903.0,300.0
HP,Model_307,Ryzen 9,64.0,128.0,AMD Radeon RX 6600M,16.0,0.98,2018,2.9,2371.0,38,2116.0,300.0
Razer,Model_308,Ryzen 5,8.0,2048.0,NVIDIA RTX 3080,17.3,2.63,2024,3.4,4437.0,42,2897.0,429.69
Acer,Model_309,Ryzen 5,64.0,256.0,NVIDIA RTX 3060,14.0,1.5,2022,4.5,4141.0,44,2416.0,534.88
Razer,Model_310,Ryzen 5,4.0,2048.0,NVIDIA RTX 3070,14.0,2.86,2022,3.5,1718.0,35,1186.0,300.0
MSI,Model_311,i7,8.0,1024.0,NVIDIA RTX 3060,16.0,2.16,2019,4.4,2696.0,73,672.0,300.0
Apple,Model_312,i3,64.0,2048.0,NVIDIA GTX 1650,13.3,0.71,2018,2.8,2905.0,92,2427.0,435.54
MSI,Model_313,Ryzen 5,32.0,1024.0,NVIDIA RTX 3060,17.3,1.48,2020,4.4,4545.0,20,576.0,300.0
Lenovo,Model_314,M2,8.0,1024.0,AMD Radeon RX 6600M,14.0,1.06,2024,3.1,2786.0,61,1042.0,339.92
Razer,Model_315,i3,8.0,1024.0,Integrated,17.3,1.65,2019,4.2,1129.0,38,2298.0,419.1
Lenovo,Model_316,,,,,14.0,1.5,2018,,,53,,300.0
Dell,Model_317,i9,16.0,1024.0,NVIDIA RTX 3080,17.3,1.81,2024,4.8,4269.0,99,1065.0,304.73
MSI,Model_318,i3,4.0,256.0,NVIDIA GTX 1650,15.6,1.22,2022,3.5,4253.0,74,1731.0,334.96
Acer,Model_319,i3,16.0,128.0,NVIDIA RTX 3070,14.0,2.64,2018,2.7,204.0,37,2198.0,300.0
Razer,Model_320,M1,64.0,512.0,NVIDIA RTX 3050,17.3,1.32,2018,2.5,672.0,53,1469.0,355.04
Asus,Model_321,i5,32.0,128.0,NVIDIA RTX 3080,13.3,1.62,2023,4.6,489.0,64,2749.0,300.0
Apple,Model_322,M1,16.0,1024.0,NVIDIA GTX 1650,15.6,2.9,2018,3.8,4228.0,25,807.0,300.0
HP,Model_323,Ryzen 9,8.0,256.0,NVIDIA RTX 3080,15.6,0.79,2020,4.4,1433.0,40,1612.0,321.63
Acer,Model_324,i5,64.0,2048.0,NVIDIA RTX 3080,13.3,1.42,2018,3.1,2718.0,89,2253.0,550.22
Acer,Model_325,Ryzen 7,64.0,256.0,NVIDIA RTX 3080,17.3,3.02,2020,3.4,3185.0,67,1552.0,389.28
Lenovo,Model_326,Ryzen 7,16.0,1024.0,NVIDIA RTX 3050,16.0,1.62,2022,2.6,3824.0,58,1541.0,300.0
MSI,Model_327,i7,16.0,256.0,AMD Radeon RX 6600M,13.3,1.23,2020,4.9,2024.0,50,2911.0,302.15
Razer,Model_328,i5,32.0,256.0,NVIDIA RTX 3060,17.3,1.76,2024,4.2,3799.0,29,543.0,300.0
Razer,Model_329,i3,4.0,1024.0,NVIDIA RTX 3080,13.3,2.68,2022,4.8,4815.0,49,2889.0,464.51
Dell,Model_330,Ryzen 7,16.0,256.0,Integrated,13.3,1.47,2022,3.2,2453.0,37,886.0,300.0
Dell,Model_331,Ryzen 5,16.0,512.0,AMD Radeon RX 6600M,14.0,2.3,2020,4.0,921.0,79,1259.0,300.0
Apple,Model_332,M2,8.0,512.0,NVIDIA RTX 3070,17.3,1.01,2019,4.2,3223.0,92,2335.0,406.44
Lenovo,Model_333,i3,64.0,256.0,NVIDIA RTX 3050,16.0,2.0,2021,3.3,2374.0,34,547.0,300.0
Acer,Model_334,Ryzen 9,4.0,2048.0,NVIDIA GTX 1650,14.0,2.25,2018,4.6,3639.0,23,1759.0,367.44
Razer,Model_335,Ryzen 5,8.0,1024.0,NVIDIA RTX 3050,13.3,1.57,2023,4.9,3482.0,82,1757.0,365.32
Asus,Model_336,Ryzen 5,32.0,512.0,NVIDIA GTX 1650,13.3,2.68,2021,4.7,690.0,59,489.0,300.0
Lenovo,Model_337,i5,32.0,2048.0,NVIDIA RTX 3050,13.3,1.22,2018,4.3,4661.0,28,1757.0,332.85
Apple,Model_338,i7,16.0,256.0,NVIDIA GTX 1650,17.3,0.58,2018,3.2,619.0,28,598.0,300.0
Apple,Model_339,Ryzen 9,16.0,2048.0,NVIDIA RTX 3080,17.3,1.14,2022,3.2,2166.0,45,937.0,300.0
Lenovo,Model_340,Ryzen 7,32.0,128.0,NVIDIA RTX 3060,14.0,2.59,2018,4.9,3876.0,23,700.0,300.0
Apple,Model_341,i5,16.0,512.0,NVIDIA GTX 1650,16.0,1.88,2023,2.5,381.0,35,1123.0,309.97
Lenovo,Model_342,Ryzen 7,4.0,256.0,NVIDIA GTX 1650,14.0,1.75,2018,4.3,625.0,34,1998.0,300.0
HP,Model_343,i5,16.0,1024.0,Integrated,15.6,1.29,2020,4.3,2263.0,71,1859.0,300.0
Lenovo,Model_344,i5,64.0,256.0,NVIDIA GTX 1650,13.3,1.24,2021,4.1,4952.0,88,467.0,300.0
MSI,Model_345,i5,16.0,1024.0,Integrated,13.3,3.24,2020,5.0,4148.0,24,2906.0,300.0
Lenovo,Model_346,i7,8.0,256.0,NVIDIA RTX 3070,13.3,1.64,2023,3.3,874.0,39,1937.0,300.0
Apple,Model_347,i5,4.0,2048.0,NVIDIA RTX 3080,14.0,3.06,2018,3.3,1278.0,98,797.0,300.0
Razer,Model_348,i9,8.0,2048.0,Integrated,14.0,1.2,2024,2.7,794.0,37,1019.0,300.0
MSI,Model_349,M2,8.0,2048.0,NVIDIA RTX 3060,13.3,1.98,2023,3.6,4581.0,21,1984.0,476.85
Apple,Model_350,Ryzen 7,64.0,128.0,AMD Radeon RX 6600M,14.0,2.07,2022,3.2,4188.0,32,1563.0,300.0
Dell,Model_351,i3,4.0,1024.0,NVIDIA RTX 3080,17.3,2.4,2020,3.4,2247.0,23,1129.0,300.0
Dell,Model_352,M1,4.0,2048.0,Integrated,17.3,0.96,2020,4.6,4064.0,61,955.0,319.36
Razer,Model_353,Ryzen 9,4.0,128.0,NVIDIA RTX 3080,14.0,3.01,2019,4.8,4905.0,93,2352.0,300.0
Razer,Model_354,i7,4.0,1024.0,NVIDIA RTX 3080,13.3,2.78,2018,3.0,945.0,80,2151.0,428.15
MSI,Model_355,i3,4.0,256.0,NVIDIA RTX 3080,14.0,0.88,2022,3.4,3990.0,27,2729.0,313.13
HP,Model_356,,,,,14.0,3.14,2024,,,86,,416.3
Razer,Model_357,i9,16.0,512.0,NVIDIA RTX 3060,14.0,0.87,2020,2.7,335.0,82,2359.0,300.0
Dell,Model_358,M1,8.0,128.0,NVIDIA RTX 3050,15.6,2.63,2020,2.7,1544.0,28,2001.0,300.0
Lenovo,Model_359,i3,4.0,128.0,NVIDIA RTX 3050,17.3,1.89,2022,2.9,3490.0,30,1880.0,300.0
Apple,Model_360,i3,16.0,1024.0,Integrated,16.0,1.65,2023,4.0,3871.0,61,2534.0,551.32
Dell,Model_361,,,,,16.0,2.36,2023,,,32,,50.0
Dell,Model_362,M1,8.0,512.0,Integrated,15.6,1.74,2018,4.9,4942.0,55,2751.0,352.75
HP,Model_363,Ryzen 5,64.0,2048.0,NVIDIA RTX 3070,14.0,1.1,2019,3.6,4613.0,32,1803.0,456.92
MSI,Model_364,i5,32.0,2048.0,NVIDIA RTX 3070,15.6,1.71,2020,3.8,2788.0,31,2577.0,529.02
MSI,Model_365,Ryzen 7,32.0,128.0,NVIDIA GTX 1650,15.6,1.59,2019,3.1,1280.0,56,1699.0,473.48
Acer,Model_366,Ryzen 5,16.0,1024.0,NVIDIA RTX 3070,13.3,2.16,2023,3.7,650.0,93,2122.0,391.45
HP,Model_367,i5,8.0,1024.0,NVIDIA GTX 1650,17.3,2.95,2023,4.2,4713.0,92,1298.0,300.0
Lenovo,Model_368,i7,32.0,2048.0,NVIDIA RTX 3060,16.0,0.98,2021,4.4,4088.0,71,1606.0,358.17
MSI,Model_369,M2,16.0,512.0,Integrated,14.0,2.28,2024,4.4,4671.0,90,1935.0,362.35
Apple,Model_370,Ryzen 9,64.0,256.0,AMD Radeon RX 6600M,16.0,2.85,2018,3.9,1377.0,21,477.0,300.0
Razer,Model_371,,,,,16.0,1.5,2021,,,75,,373.61
HP,Model_372,Ryzen 7,16.0,256.0,NVIDIA RTX 3070,17.3,2.52,2024,4.5,2585.0,79,637.0,300.0
Razer,Model_373,M1,16.0,2048.0,NVIDIA RTX 3060,16.0,1.64,2021,4.4,3613.0,42,1557.0,312.54
Dell,Model_374,,,,,16.0,1.63,2021,,,59,,5.0
Apple,Model_375,M1,64.0,1024.0,NVIDIA RTX 3060,15.6,1.4,2018,2.5,1996.0,83,1615.0,384.61
Apple,Model_376,i9,4.0,128.0,NVIDIA RTX 3070,17.3,1.58,2018,3.0,2250.0,42,677.0,300.0
Dell,Model_377,,,,,13.3,1.78,2022,,,48,,300.0
HP,Model_378,M2,4.0,2048.0,NVIDIA RTX 3080,14.0,1.93,2019,3.5,2115.0,97,579.0,341.54
Dell,Model_379,i7,4.0,1024.0,NVIDIA RTX 3060,16.0,1.5,2019,3.5,138.0,70,522.0,300.0
Razer,Model_380,i7,32.0,512.0,NVIDIA GTX 1650,14.0,3.21,2022,4.7,4811.0,88,1669.0,300.0
Acer,Model_381,i5,16.0,1024.0,NVIDIA RTX 3070,13.3,0.9,2022,4.7,4006.0,50,2157.0,300.0
Apple,Model_382,i7,64.0,128.0,NVIDIA RTX 3060,14.0,2.92,2023,4.8,861.0,69,1494.0,300.0
Asus,Model_383,i7,4.0,128.0,AMD Radeon RX 6600M,13.3,3.05,2024,3.3,4113.0,39,879.0,300.0
Asus,Model_384,Ryzen 5,64.0,1024.0,NVIDIA RTX 3080,15.6,1.9,2021,4.2,2086.0,74,2197.0,563.52
Razer,Model_385,Ryzen 5,4.0,1024.0,NVIDIA RTX 3070,16.0,1.92,2022,3.2,3004.0,21,2531.0,300.0
Lenovo,Model_386,i5,8.0,128.0,NVIDIA RTX 3050,13.3,1.62,2020,3.0,3754.0,44,2804.0,327.49
MSI,Model_387,Ryzen 7,4.0,512.0,NVIDIA RTX 3080,14.0,1.06,2019,3.0,2766.0,32,1215.0,300.0
Dell,Model_388,,,,,16.0,2.61,2022,,,89,,301.89
Dell,Model_389,Ryzen 7,16.0,2048.0,NVIDIA RTX 3060,15.6,1.98,2020,3.6,4381.0,86,2970.0,317.43
Lenovo,Model_390,i3,8.0,1024.0,AMD Radeon RX 6600M,16.0,1.74,2020,4.6,3154.0,77,542.0,300.0
Lenovo,Model_391,Ryzen 5,4.0,2048.0,NVIDIA RTX 3050,13.3,1.46,2020,2.8,252.0,94,591.0,300.0
Razer,Model_392,M2,64.0,128.0,AMD Radeon RX 6600M,15.6,3.05,2023,4.3,4095.0,83,1810.0,300.0
Razer,Model_393,i5,8.0,128.0,NVIDIA RTX 3050,14.0,1.4,2023,3.8,180.0,88,777.0,412.04
Lenovo,Model_394,,,,,15.6,1.93,2020,,,78,,300.0
Apple,Model_395,M2,4.0,1024.0,NVIDIA RTX 3050,15.6,2.08,2024,3.7,3522.0,79,2116.0,452.82
Razer,Model_396,M2,8.0,1024.0,NVIDIA GTX 1650,17.3,3.17,2023,3.2,1509.0,81,1432.0,300.0
Acer,Model_397,M2,64.0,512.0,NVIDIA GTX 1650,15.6,1.68,2021,4.0,2109.0,35,1810.0,300.0
Razer,Model_398,Ryzen 7,8.0,2048.0,Integrated,15.6,1.89,2020,3.6,2168.0,87,2540.0,306.22
Dell,Model_399,M1,64.0,1024.0,NVIDIA GTX 1650,16.0,0.88,2021,2.9,1982.0,34,2389.0,390.73
Razer,Model_400,i3,4.0,256.0,NVIDIA RTX 3080,14.0,1.19,2021,2.8,3935.0,74,2976.0,300.0
Apple,Model_401,i9,16.0,256.0,NVIDIA RTX 3050,16.0,3.16,2020,3.9,2268.0,54,1577.0,300.0
Lenovo,Model_402,i3,8.0,128.0,NVIDIA GTX 1650,16.0,1.89,2019,4.8,4049.0,74,804.0,300.0
Dell,Model_403,M1,16.0,2048.0,NVIDIA RTX 3070,13.3,1.83,2024,3.4,2045.0,33,1572.0,332.91
Razer,Model_404,i3,64.0,1024.0,AMD Radeon RX 6600M,16.0,2.0,2020,4.3,3281.0,68,1288.0,463.19
Apple,Model_405,i7,8.0,256.0,AMD Radeon RX 6600M,17.3,1.43,2020,4.1,867.0,26,821.0,300.0
Acer,Model_406,,,,,17.3,1.58,2023,,,49,,393.91
Razer,Model_407,M1,16.0,128.0,AMD Radeon RX 6600M,13.3,1.22,2020,4.6,1059.0,68,871.0,300.0
Apple,Model_408,,,,,14.0,1.94,2019,,,35,,300.0
Acer,Model_409,Ryzen 9,16.0,2048.0,Integrated,14.0,1.67,2023,4.1,308.0,70,1030.0,300.0
Lenovo,Model_410,M1,8.0,2048.0,NVIDIA RTX 3050,16.0,1.44,2018,4.7,933.0,91,1437.0,300.0
Razer,Model_411,i5,4.0,512.0,NVIDIA RTX 3070,16.0,2.99,2018,3.5,4242.0,99,2229.0,330.0
Acer,Model_412,M1,16.0,2048.0,Integrated,16.0,2.7,2021,3.3,4316.0,61,763.0,300.0
Dell,Model_413,i7,32.0,128.0,NVIDIA RTX 3060,14.0,1.43,2024,2.5,2809.0,36,2566.0,300.0
Lenovo,Model_414,Ryzen 9,32.0,128.0,NVIDIA RTX 3080,15.6,2.68,2021,4.6,4885.0,82,945.0,300.0
Dell,Model_415,i7,64.0,512.0,NVIDIA RTX 3080,17.3,1.62,2019,4.5,4072.0,64,2969.0,534.35
Asus,Model_416,Ryzen 9,8.0,1024.0,NVIDIA RTX 3050,15.6,1.2,2022,2.8,4055.0,96,1033.0,364.85
HP,Model_417,i5,16.0,256.0,AMD Radeon RX 6600M,15.6,1.11,2024,3.9,1812.0,26,2336.0,385.79
Razer,Model_418,Ryzen 7,64.0,1024.0,NVIDIA RTX 3060,14.0,2.5,2018,3.7,2723.0,46,2080.0,381.18
Acer,Model_419,i7,16.0,2048.0,Integrated,15.6,1.87,2021,2.8,4516.0,29,1362.0,300.0
HP,Model_420,i7,8.0,256.0,NVIDIA RTX 3060,13.3,1.44,2018,5.0,2863.0,53,1282.0,300.0
HP,Model_421,M2,512.0,512.0,NVIDIA RTX 3060,16.0,1.88,2019,3.0,2667.0,55,1270.0,300.0
Acer,Model_422,Ryzen 9,4.0,512.0,AMD Radeon RX 6600M,13.3,1.9,2019,2.7,4532.0,44,915.0,300.0
Lenovo,Model_423,Ryzen 5,32.0,256.0,Integrated,17.3,2.39,2022,4.0,3356.0,25,1820.0,300.0
Razer,Model_424,Ryzen 9,64.0,128.0,NVIDIA RTX 3070,16.0,0.67,2022,4.3,1481.0,43,1265.0,359.79
Asus,Model_425,M2,4.0,256.0,AMD Radeon RX 6600M,15.6,3.22,2023,2.6,2959.0,37,2553.0,300.0
Dell,Model_426,i3,64.0,2048.0,NVIDIA RTX 3060,17.3,1.7,2024,4.1,951.0,25,1508.0,509.95
Apple,Model_427,Ryzen 9,8.0,128.0,NVIDIA RTX 3060,16.0,0.93,2019,3.8,1917.0,48,613.0,300.0
Dell,Model_428,Ryzen 7,4.0,512.0,NVIDIA RTX 3070,15.6,2.14,2021,2.8,4847.0,44,2644.0,300.0
Apple,Model_429,M2,64.0,256.0,NVIDIA RTX 3060,13.3,1.22,2018,2.9,1253.0,74,418.0,436.38
Dell,Model_430,i3,8.0,1024.0,NVIDIA RTX 3060,16.0,2.21,2020,3.9,4433.0,65,1041.0,300.0
Acer,Model_431,i9,32.0,1024.0,NVIDIA RTX 3060,15.6,2.62,2022,3.2,1476.0,43,1504.0,300.0
Asus,Model_432,M2,8.0,2048.0,NVIDIA RTX 3080,13.3,1.64,2020,4.8,3967.0,94,729.0,317.93
Razer,Model_433,i9,16.0,1024.0,AMD Radeon RX 6600M,17.3,1.23,2021,4.5,1976.0,45,1265.0,300.0
Apple,Model_434,i7,8.0,256.0,NVIDIA GTX 1650,17.3,1.74,2022,5.0,385.0,47,1173.0,300.0
Razer,Model_435,M2,8.0,256.0,AMD Radeon RX 6600M,17.3,2.05,2020,3.1,272.0,22,791.0,300.0
